Run_ID,Avg_temp,Avg_pH,Min_DO %,Inoculum size (mL),Max_RPM,Total feed of Lactose (mL),Total culture duration (days),Contamination (Y/N),Total media volume (mL),Max FPU/ml,Notes
TRICH_258,24.071,5.579,-9.662,83.301,231.519,1600.881,5.526,N,4317.253,3.027,Low yeild
TRICH_259,23.844,4.442,49.043,64.573,292.08,1238.539,4.684,N,3554.276,3.762,High Yeild
TRICH_260,30.739,5.078,11.954,78.976,231.248,142.662,7.209,Y,5371.26,4.385,Low yeild
TRICH_261,24.1,5.124,20.796,85.926,243.164,1406.96,4.553,Y,3505.364,4.151,Medium Yeild
TRICH_262,28.648,4.312,36.73,49.973,250.679,1499.689,4.966,Y,4080.959,-0.674,High Yeild
TRICH_263,27.952,5.096,29.973,71.247,247.275,1217.642,5.236,Y,4291.03,3.617,Low yeild
TRICH_264,24.848,4.508,-1.773,106.15,268.635,1229.738,6.053,Y,4315.398,1.778,Medium Yeild
TRICH_265,23.388,4.059,-9.211,86.225,249.693,612.631,4.59,N,4127.929,4.445,High Yeild
TRICH_266,25.623,4.83,38.657,94.216,264.018,1248.967,5.857,Y,4643.2,3.281,High Yeild
TRICH_267,25.596,4.996,39.471,78.752,274.583,537.318,5.796,N,3630.612,2.298,Low yeild
TRICH_268,23.609,5.522,-11.354,100.059,244.278,1265.911,7.811,Y,4353.023,4.13,Low yeild
TRICH_269,26.932,3.782,46.555,71.397,232.696,927.426,4.948,N,5103.588,0.493,Medium Yeild
TRICH_270,24.364,5.457,-15.91,75.04,222.58,1042.464,4.703,N,4275.712,1.166,Low yeild
TRICH_271,28.863,5.069,24.13,117.112,283.048,907.307,4.513,N,3533.014,0.604,Low yeild
TRICH_272,23.094,5.418,31.789,74.96,274.961,1038.79,5.132,N,3690.564,4.171,Low yeild
TRICH_273,27.127,3.544,10.09,81.374,241.928,783.369,4.405,N,3983.526,-1.55,Low yeild
TRICH_274,32.671,7.363,28.832,82.93,265.512,1152.353,3.69,N,4006.653,5.421,Medium yeild
TRICH_275,29.225,4.979,72.988,94.396,296.367,1536.542,5.622,N,3365.116,0.562,Low yeild
TRICH_276,23.752,4.98,29.006,53.492,255.536,1082.149,5.079,N,4004.263,2.423,Medium Yeild
TRICH_277,24.561,5.238,12.368,64.987,252.77,1863.442,4.575,N,3338.875,3.309,Medium Yeild
TRICH_278,30.432,3.488,36.39,119.653,264.512,1456.039,5.835,Y,3386.852,5.114,High Yeild
TRICH_279,26.105,4.997,23.389,99.962,260.077,631.644,6.116,N,3469.843,2.289,High Yeild
TRICH_280,25.375,5.619,7.088,34.463,243.466,471.431,4.333,N,3366.178,4.1,Low yeild
TRICH_281,26.487,5.927,31.858,81.304,267.528,1418.663,5.037,N,3842.619,0.819,Low yeild
TRICH_282,24.576,5,-3.888,100.569,256.949,1571.304,7.016,Y,4050.41,-0.334,High Yeild
TRICH_283,29.177,4.335,31.08,86.448,243.95,2488.925,4.934,N,4865.748,0.088,Low yeild
TRICH_284,29.948,4.826,50.36,76.637,261.054,1031.984,3.986,Y,4411.17,3.207,Medium Yeild
TRICH_285,27.447,5.672,-5.63,105.644,253.892,1448.179,5.313,N,4616.606,3.103,Low yeild
TRICH_286,26.635,5.304,44.215,54.857,260.669,1625.146,4.16,N,4542.657,7.221,Medium Yeild
TRICH_287,29.684,5.909,32.387,74.655,250.381,1229.036,3.422,N,4437.639,1.824,Medium yeild
TRICH_288,27.17,4.987,27.166,112.751,245.565,1170.096,7.154,Y,4192.33,5.034,Medium Yeild
TRICH_289,27.146,5.092,16.039,75.31,257.78,1115.982,4.796,Y,4495.568,2.128,Low yeild
TRICH_290,24.551,5.729,7.805,75.342,252.106,767.813,5.364,N,4166.128,-1.552,Low yeild
TRICH_291,29.637,5.926,2.4,76.958,220.527,1421.646,7.586,N,3926.862,2.717,High Yeild
TRICH_292,25.696,4.886,54.084,82.95,265.557,670.466,6.822,Y,3822.649,-2.045,Medium Yeild
TRICH_293,28.871,5.655,46.101,61.456,238.771,740.91,5.957,Y,3886.665,3.066,Medium Yeild
TRICH_294,25.357,5.484,35.337,67.087,287.206,1509.068,7.233,Y,4161.648,1.765,Medium Yeild
TRICH_295,28.154,5.42,0.199,101.229,227.927,766.592,5.757,Y,4457.25,3.283,Low yeild
TRICH_296,29.104,3.565,12.77,83.626,273.454,1113.107,4.463,Y,4917.393,1.65,High Yeild
TRICH_297,25.101,3.844,24.349,93.107,244.58,1674.041,5.716,N,4054.498,-0.1,Medium Yeild
TRICH_298,27.273,3.969,16.42,74.258,253.182,920.995,3.819,Y,3941.122,1.558,Medium Yeild
TRICH_299,27.011,4.456,31.44,112.1,263.582,1646.621,5.44,N,4646.546,2.405,Low yeild
TRICH_300,28.573,5.784,4.077,102.507,266.141,1017.355,5.398,Y,4235.236,7.676,Medium yeild
TRICH_301,32.043,5.67,39.161,109.11,276.453,1033.284,7.969,N,4422.589,3.661,Low yeild
TRICH_302,27.109,4.462,27.996,59.522,282.414,1631.055,5.251,Y,4691.866,3.128,High Yeild
TRICH_303,29.025,4.196,1.854,109.435,273.412,1218.43,5.263,N,2949.276,-0.72,Medium Yeild
TRICH_304,24.218,4.844,33.059,73.755,262.971,1359.282,6.299,Y,4227.472,1.904,Low yeild
TRICH_305,27.892,5.533,-6.2,90.605,275.006,704.624,5.741,Y,4017.1,3.752,Medium Yeild
TRICH_306,27.202,4.759,21.265,122.357,306.324,1285.531,6.257,Y,3968.213,2.053,Medium Yeild
TRICH_307,23.852,5.837,21.898,38.107,233.156,1491.394,4.88,Y,3803.552,3.806,Low yeild
TRICH_308,28.577,5.126,-1.754,65.213,254.162,1156.875,5.019,N,4179.306,3.663,Low yeild
TRICH_309,27.208,4.852,7.317,85.012,280.677,907.505,3.925,N,4525.816,0.593,High Yeild
TRICH_310,29.323,5.876,36.499,112.667,266.492,1050.573,5.907,N,4182.198,1.866,Medium Yeild
TRICH_311,27.02,4.548,21.542,69.517,242.733,1147.681,4.761,Y,4287.393,4.55,Medium Yeild
TRICH_312,25.634,4.656,7.274,90.647,232.468,1389.947,5.192,N,4722.482,0.482,Medium Yeild
TRICH_313,27.881,4.169,27.799,60.567,244.321,1375.293,4.423,N,3567.184,-0.521,Low yeild
TRICH_314,29.628,4.711,6.139,102.571,223.963,938.209,5.067,Y,4725.303,2.921,Medium Yeild
TRICH_315,28.66,4.222,-7.769,108.998,237.073,483.016,6.646,N,4364.318,4.036,Medium Yeild
TRICH_316,24.76,5.356,46.475,99.03,265.623,1970.552,4.9,N,3379.707,-0.652,Medium Yeild
TRICH_317,26.778,5.315,26.226,102.567,238.015,668.65,6.29,Y,4165.541,3.991,Medium Yeild
TRICH_318,27.214,4.627,19.705,61.457,272.462,2143.19,5.208,N,3666.372,0.608,Low yeild
TRICH_319,28.038,4.456,19.079,103.131,279.395,1139.917,3.851,N,4279.13,-0.836,Low yeild
TRICH_320,27.222,5.007,45.966,93.18,252.902,495.378,5.141,N,4910.287,-1.114,Medium Yeild
TRICH_321,27.692,6.081,11.303,76.721,238.407,1518.372,4.179,N,3395.632,1.363,Low yeild
TRICH_322,27.76,5.7,15.634,146.212,265.431,1667.387,5.399,Y,3795.793,2.052,High Yeild
TRICH_323,30.69,5.65,32.248,74.974,244.481,1732.281,5.572,N,4725.414,3.131,Medium yeild
TRICH_324,26.698,7.006,33.849,118.904,223.118,1725.696,5.621,Y,4261.088,3.819,Medium Yeild
TRICH_325,30.347,5.309,36.508,92.789,261.987,1315.26,5.754,Y,4099.867,4.676,Medium Yeild
TRICH_326,29.252,4.447,10.905,67.144,244.082,1693.445,6.234,Y,4386.547,4.789,Low yeild
TRICH_327,26.537,4.634,17.667,113.638,262.988,587.628,5.417,Y,3310.417,0.226,High Yeild
TRICH_328,30.519,5.045,1.661,92.082,256.307,783.735,6.65,Y,3630.541,1.265,High Yeild
TRICH_329,28.323,5.23,59.586,102.073,281.894,127.383,5.257,N,3621.323,2.104,Low yeild
TRICH_330,22.921,4.723,7.301,103.272,237.014,1062.71,6.237,N,3971.553,-0.607,Low yeild
TRICH_331,25.611,5.472,20.903,85.137,232.676,1017.931,5.049,Y,4361.783,3.394,Medium Yeild
TRICH_332,31.75,4.716,58.052,79.237,291.328,858.689,8.161,Y,3725.83,9.076,High Yeild
TRICH_333,23.347,5.211,15.399,56.419,287.571,1398.45,6.164,N,3758.435,2.871,Medium yeild
TRICH_334,28.972,5.204,-11.975,87.704,238.504,2349.38,4.734,N,4922.245,4.172,Low yeild
TRICH_335,29.447,4.033,42.84,90.36,276.624,1031.758,3.05,Y,4027.531,4.774,Medium Yeild
TRICH_336,30.097,4.936,30.696,100.867,303.06,1398.51,5.774,Y,4152.828,2.964,Low yeild
TRICH_337,30.49,5.532,21.918,122.423,239.892,258.929,5.451,N,3686.647,1.777,Low yeild
TRICH_338,32.314,3.695,34.168,79.054,270.417,788.8,6.155,Y,3613.846,2.088,Low yeild
TRICH_339,32.688,4.026,26.356,81.384,238.838,1214.652,5.084,N,3735.558,5.984,Low yeild
TRICH_340,25.865,6.513,7.876,92.028,289.487,503.528,5.073,N,4312.432,-0.656,Medium yeild
TRICH_341,28.581,5.643,23.151,122.336,289.348,547.891,4.423,Y,4401.268,0.675,Low yeild
TRICH_342,27.369,6.012,29.218,92.56,224.662,483.053,5.776,Y,3810.316,6.054,High Yeild
TRICH_343,29.688,4.732,22.072,83.175,215.752,504.242,4.357,N,3588.899,1.909,High Yeild
TRICH_344,26.381,3.865,-3.924,95.683,249.901,1613.991,4.903,N,3713.58,1.769,Medium Yeild
TRICH_345,26.036,4.896,26.319,79.639,291.019,1432.172,6.121,Y,4073.744,1.234,High Yeild
TRICH_346,25.769,5.61,-0.311,89.774,253.66,491.821,3.851,Y,3680.34,2.459,Low yeild
TRICH_347,25.195,4.043,12.321,72.713,307.34,-363.219,4.463,Y,3832.954,4.222,Low yeild
TRICH_348,26.625,4.471,50.945,68.292,296.257,1623.118,4.353,N,4630.465,2.655,High Yeild
TRICH_349,29.254,5.234,27.832,107.458,259.844,1309.842,6.399,Y,3755.994,3.458,Low yeild
TRICH_350,31.795,5.183,44.158,48.609,273.564,1258.971,5.604,Y,4022.322,2.983,High Yeild
TRICH_351,28.5,5.248,-13.127,124.195,213.654,1411.14,5.992,N,4117.888,0.332,Medium Yeild
TRICH_352,31.609,4.457,72.502,54.412,226.919,1750.316,4.931,N,3583.974,2.471,Low yeild
TRICH_353,27.606,5.119,42.418,101.899,216.739,593.497,6.169,Y,3139.946,2.169,Medium Yeild
TRICH_354,27.069,4.836,40.082,72.115,224.226,1365.357,5.446,N,4277.833,8.056,Low yeild
TRICH_355,25.853,5.662,31.746,95.883,261.906,1144.249,4.998,Y,3016.34,4.508,Low yeild
TRICH_356,28.974,5.549,46.885,95.588,231.994,526.96,7.024,N,4691.123,6.38,Low yeild
TRICH_357,26.129,4.599,0.638,69.474,240.267,1328.845,5.213,Y,3769.177,2.912,Low yeild
TRICH_358,29.088,6.499,46.56,74.395,244.256,1924.919,5.309,N,3051.434,-2.241,Medium Yeild
TRICH_359,25.09,5.801,42.12,62.693,260.479,616.001,5.863,N,4623.955,0.364,Medium Yeild
TRICH_360,29.133,3.988,59.755,96.795,285.131,1528.617,6.539,N,3668.788,-1.941,Low yeild
TRICH_361,30.542,5.163,11.144,101.076,248.753,1566.525,3.788,Y,4780.276,3.582,Medium Yeild
TRICH_362,31.584,6.205,35.636,84.175,272.55,1738.635,6.832,N,3502.442,2.024,Low yeild
TRICH_363,24.124,3.436,46.991,76.644,275.333,760.379,6.874,Y,3889.766,2.626,Medium Yeild
TRICH_364,24.251,5.166,13.565,93.885,260.215,1847.366,4.934,N,3737.759,-2.505,Low yeild
TRICH_365,25.151,4.497,35.213,97.502,258.816,1945.348,5.697,Y,3965.276,2.777,Low yeild
TRICH_366,28.107,5.829,19.163,92.394,225.201,2113.964,5.524,Y,4990.048,0.414,Medium Yeild
TRICH_367,25.421,4.898,14.261,95.952,285.13,1075.505,6.256,Y,4155.785,-0.861,Low yeild
TRICH_368,24.814,4.895,4.132,91.187,269.502,217.132,4.058,Y,4280.377,1.801,Medium Yeild
TRICH_369,29.513,4.629,-3.187,123.411,273.562,1409.499,6.323,N,3313.281,5.964,Low yeild
TRICH_370,28.789,5.085,35.122,99.479,240.625,1021.635,6.548,N,4356.512,2.688,High Yeild
TRICH_371,23.689,5.872,-4.066,87.787,273.01,1547.417,5.226,N,3748.176,-0.233,High Yeild
TRICH_372,26.697,4.656,14.139,73.387,247.195,924.409,6.288,N,2582.029,0.4,High Yeild
TRICH_373,28.258,4.41,-15.415,109.403,270.226,1796.841,3.786,Y,3578.768,1.427,Low yeild
TRICH_374,24.67,4.96,11.255,115.499,219.13,1577.122,6.715,N,4359.969,-0.519,Medium Yeild
TRICH_375,26.417,5.29,-9.943,87.938,259.555,1696.867,4.529,N,4138.376,-0.855,High Yeild
TRICH_376,30.706,5.024,31.061,133.742,234.107,1494.183,4.983,N,3158.329,1.426,High Yeild
TRICH_377,26.221,5.478,-0.789,88.681,261.098,719.371,5.562,Y,4798.92,4.971,Low yeild
TRICH_378,27.494,4.619,11.608,62.37,248.632,1995.236,5.999,Y,3703.831,1.64,Low yeild
TRICH_379,26.943,4.509,47.685,71.755,246.751,1192.688,6.605,Y,4339.108,3.258,High Yeild
TRICH_380,29.343,4.99,30.527,83.221,281.913,402.116,7.366,Y,3303.211,0.732,Medium Yeild
TRICH_381,25.205,5.829,15.041,105.431,260.969,502.931,4.528,N,4609.826,2.718,High Yeild
TRICH_382,25.133,5.187,23.241,159.697,273.945,561.71,4.856,Y,4983.569,3.586,Medium Yeild
TRICH_383,30.158,5.627,22.138,101.477,251.913,567.826,6.458,Y,3768.879,-0.551,Medium Yeild
TRICH_384,26.771,5.23,-11.322,139.437,248.415,2049.38,4.773,N,3792.583,0.363,Low yeild
TRICH_385,25.85,5.167,10.866,99.07,237.185,1030.261,7.071,Y,3983.008,3.463,Medium Yeild
TRICH_386,29.352,6.14,34.084,102.704,283.165,1388.796,6.24,Y,4172.609,0.762,Low yeild
TRICH_387,28.999,5.519,-11.527,64.411,279.922,670.777,5.439,N,4429.928,-0.216,Medium Yeild
TRICH_388,26.201,5.237,37.414,137.34,253.485,1140.85,4.906,Y,3942.789,7.085,Medium Yeild
TRICH_389,30.143,4.61,24.781,62.892,263.861,1597.192,4.668,Y,4313.192,0.425,High Yeild
TRICH_390,26.991,4.761,41.183,81.749,266.155,1007.954,4.916,Y,4079.874,8.334,Low yeild
TRICH_391,29.943,4.656,43.306,153.445,267.176,991.071,6.156,Y,4285.231,1.711,Low yeild
TRICH_392,26.082,5.416,4.163,86.484,245.407,545.956,4.474,Y,4313.382,5.207,Low yeild
TRICH_393,28.885,5.172,24.533,110.358,296.913,1411.024,5.285,Y,4413.712,6.679,Medium Yeild
TRICH_394,22.881,3.713,33.867,98.872,235.638,1017.754,6.162,N,3151.95,2.038,Medium Yeild
TRICH_395,28.703,3.792,54.489,86.041,237.136,1840.956,5.03,Y,4030.691,3.118,Medium Yeild
TRICH_396,27.086,5.955,35.996,130.829,204.944,2003.683,4.845,N,4364.926,2.416,Medium Yeild
TRICH_397,28.574,4.478,-4.773,114.21,243.379,2196.13,4.373,Y,3491.182,1.785,Low yeild
TRICH_398,25.083,4.64,32.793,109.943,276.221,847.651,6.304,N,4515.35,3.58,Low yeild
TRICH_399,24.322,4.712,-3.017,111.489,252.316,857.001,4.726,N,3560.241,4.157,Low yeild
TRICH_400,25.799,4.763,36.946,102.357,252.841,1330.534,7.464,Y,4015.698,2.02,Low yeild
TRICH_401,25.393,5.019,61.809,104.14,214.317,759.051,4.484,Y,3368.352,2.468,High Yeild
TRICH_402,23.343,5.476,10.497,74.504,251.689,927.54,6.188,Y,4503.73,4.37,Low yeild
TRICH_403,29.585,5.611,11.846,124.902,247.933,1424.529,6.002,N,5133.974,-0.569,High Yeild
TRICH_404,23.323,5.346,6.697,123.579,223.095,1115.757,4.799,N,4303.995,2.812,Low yeild
TRICH_405,29.393,5.527,25.77,101.969,215.836,1071.254,4.559,Y,3074.964,0.508,Low yeild
TRICH_406,28.688,4.865,-13.964,61.628,248.114,993.75,4.984,N,3418.479,1.913,Low yeild
TRICH_407,25.58,4.495,9.064,78.8,228.721,703.258,6.071,N,4373.332,6.304,Low yeild
TRICH_408,26.631,5.49,14.943,114.6,292.849,1381.833,7.11,N,3954.45,-1.266,Low yeild
TRICH_409,25.563,6.377,69.89,92.729,254.864,860.324,5.32,N,4358.09,-2.121,Low yeild
TRICH_410,29.093,5.95,32.35,103.558,225.592,123.381,5.309,N,4486.542,2.146,Medium Yeild
TRICH_411,26.748,5.29,-37.291,63.973,245.488,1237.095,5.514,N,5215.552,-0.145,Medium yeild
TRICH_412,24.617,4.642,35.139,130.186,256.456,1679.525,6.978,N,3486.738,1.747,Low yeild
TRICH_413,28.275,5.127,7.189,131.22,259.779,6.197,4.198,Y,3889.454,1.652,Medium Yeild
TRICH_414,31.161,5.928,18.795,67.041,304.401,891.855,5.822,N,4356.247,0.571,Medium Yeild
TRICH_415,28.57,5.103,43.433,99.737,282.539,706,6.449,N,3114.045,3.051,Medium Yeild
TRICH_416,26.009,5.188,30.147,76.241,284.315,201.327,4.338,N,4227.425,-0.731,High Yeild
TRICH_417,30.777,4.607,27.642,120.2,268.882,1469.979,3.743,N,5101.342,-0.951,Medium Yeild
TRICH_418,23.39,4.78,14.967,86.105,251.877,372.335,6.64,N,4025.203,2.298,High Yeild
TRICH_419,25.09,4.164,55.398,122.545,251.775,493.435,7.772,N,4836.175,1.102,Low yeild
TRICH_420,28.915,5.785,19.404,78.57,266.315,-116.268,7.127,N,4719.178,5.418,Medium Yeild
TRICH_421,25.36,5.194,11.207,124.474,251.266,1372.477,5.416,N,3981.263,4.067,Medium Yeild
TRICH_422,26.745,4.227,25.366,101.286,261.873,688.673,5.93,Y,3934.891,1.656,Low yeild
TRICH_423,26.653,3.924,22.754,97.223,241.325,1225.547,4.971,N,3462.867,4.138,High Yeild
TRICH_424,28.702,4.338,-14.738,82.992,217.489,204.024,5.054,N,4932.359,2.086,Medium Yeild
TRICH_425,27.98,5.116,11.697,104.45,242.093,586.25,5.66,N,3120.659,2.209,Low yeild
TRICH_426,24.11,4.881,59.016,91.215,270.31,808.452,5.683,N,3468.04,4.646,Low yeild
TRICH_427,31.323,4.988,19.191,84.108,201.862,1872.049,6.653,N,4361.144,4.385,High Yeild
TRICH_428,29.275,5.296,2.556,80.943,240.971,1109.46,7.802,N,4057.081,3.402,Low yeild
TRICH_429,28.994,5.204,11.598,52.735,247.16,1900.013,5.089,N,4060.468,5.98,Medium Yeild
TRICH_430,29.188,5.572,-10.368,76.138,235.924,866.603,5.311,N,3439.224,4.669,Medium Yeild
TRICH_431,29.704,4.599,11.451,83.686,233.873,1674.148,5.964,N,4302.879,2.432,Low yeild
TRICH_432,27.887,3.914,22.395,85.427,226.53,2034.208,7.302,Y,4213.814,3.13,Low yeild
TRICH_433,25.419,4.324,55.248,98.186,287.32,1236.963,6.02,Y,4715.313,-3.601,Medium Yeild
TRICH_434,31.434,5.735,18.699,107.075,261.12,984.91,5.869,N,3834.705,2.7,Low yeild
TRICH_435,29.508,5.41,33.864,94.651,272.001,1482.303,4.289,Y,4401.637,-0.015,High Yeild
TRICH_436,25.024,4.752,39.843,78.811,207.489,914.326,6.011,N,4593.183,1.107,Medium Yeild
TRICH_437,25.482,4.843,12.998,82.376,209.285,601.275,4.722,N,3120.966,-0.861,High Yeild
TRICH_438,31.256,4.636,26.078,57.451,268.364,2122.509,6.542,N,4779.566,7.757,Medium yeild
TRICH_439,26.769,4.536,53.298,83.308,261.172,1450.703,5.526,Y,3426.514,3.259,Medium Yeild
TRICH_440,25.991,5.425,7.322,92.549,246.907,1407.074,5.524,Y,4254.462,3.059,Medium Yeild
TRICH_441,25.656,4.189,34.327,114.677,240.029,861.813,6.21,N,3534.146,0.316,Low yeild
TRICH_442,24.952,4.879,31.597,82.041,243.461,1176.421,6.082,Y,4335.331,4.517,Medium Yeild
TRICH_443,30.104,3.47,-5.994,87.522,252.033,1127.854,4.799,Y,4258.253,2.947,Medium Yeild
TRICH_444,27.212,4.7,-34.964,122.046,241.876,1399.298,4.517,N,2734.973,-0.34,Medium Yeild
TRICH_445,29.951,4.615,43.449,115.946,283.055,1056.788,5.885,Y,3786.159,3.787,Low yeild
TRICH_446,28.088,5.282,78.403,69.661,256.279,817.854,5.078,Y,5461.094,0.142,Medium yeild
TRICH_447,26.733,5.706,31.77,95.427,254.913,1090.127,4.786,N,4334.875,2.158,Medium Yeild
TRICH_448,27.79,5.492,3.922,117.431,269.095,1139.248,5.581,Y,4793.039,1.527,High Yeild
TRICH_449,26.895,4.933,2.067,112.401,235.226,1239.513,5.069,N,4627.412,5.369,Low yeild
TRICH_450,30.589,5.475,4.551,67.469,251.896,1450.318,3.938,Y,4884.584,0.691,Low yeild
TRICH_451,27.335,5.754,8.292,125.615,266.201,1176.883,5.962,N,4262.831,-1.516,Low yeild
TRICH_452,24.349,4.075,20.596,77.894,228.08,862.964,4.884,Y,3958.137,2.462,High Yeild
TRICH_453,29.791,6.642,33.081,89.807,233.152,1646.357,5.959,Y,4464.517,4.773,Medium Yeild
TRICH_454,28.098,4.98,76.984,73.551,225.036,1495.246,4.258,Y,4146.059,-0.686,Medium Yeild
TRICH_455,24.865,4.598,0.998,82.633,235.649,1175.074,5.257,Y,4271.394,3.601,Low yeild
TRICH_456,25.929,5.158,50.33,82.253,226.357,1943.078,7.17,Y,2406.136,2.72,Medium yeild
TRICH_457,26.456,5.909,-11.146,73.706,273.847,1758.34,3.559,N,5067.977,0.917,Medium Yeild
TRICH_458,29.266,5.017,12.634,94.317,233.179,1632.739,4.739,N,3763.575,2.167,Medium Yeild
TRICH_459,27.621,5.49,22.555,84.59,240.208,1304.839,5.847,N,4418.801,1.275,Medium Yeild
TRICH_460,22.544,6.044,30.855,63.937,265.134,1503.898,5.674,N,3868.082,8.278,High Yeild
TRICH_461,31.333,4.726,0.495,38.547,275.214,715.659,6.08,Y,4072.279,1.279,Medium Yeild
TRICH_462,29.999,6.259,45.817,97.743,223.772,1793.646,6.823,Y,3843.859,5.48,Low yeild
TRICH_463,28.19,5.799,47.988,101.925,273.015,584.271,5.407,N,4293.401,0.552,Low yeild
TRICH_464,29.096,4.526,65.17,81.385,237.472,2045.474,5.838,N,4282.084,1.003,High Yeild
TRICH_465,28.342,6.367,13.158,81.175,201.353,1453.263,7.142,Y,4788.68,-1.043,Low yeild
TRICH_466,26.322,4.2,41.115,88.767,220.981,1736.935,5.974,Y,4171.971,2.745,Low yeild
TRICH_467,25.015,4.805,56.7,83.635,250.875,474.226,6.037,N,3819.57,0.664,Low yeild
TRICH_468,27.449,4.438,19.015,67.032,246.869,187.716,5.62,N,3669.427,1.529,Low yeild
TRICH_469,26.979,5.047,8.249,53.003,222.729,888.4,6.145,Y,4350.181,3.014,Low yeild
TRICH_470,28.888,5.797,29.245,118.358,239.656,1752.143,6.301,Y,4284.094,1.832,High Yeild
TRICH_471,27.345,4.689,-15.855,114.577,273.441,901.364,6.104,N,3904.201,2.807,Low yeild
TRICH_472,27.904,4.583,47.588,120.912,196.372,826.432,5.248,N,5012.431,1.958,Low yeild
TRICH_473,26.956,4.761,21.961,50.928,256.323,589.082,5.156,Y,4734.992,1.941,Medium Yeild
TRICH_474,24.542,3.832,-6.906,118.227,276.51,1196.2,4.676,N,2870.453,3.695,Medium yeild
TRICH_475,28.2,5.287,31.844,62.917,256.768,79.836,4.67,N,4240.998,2.868,Medium Yeild
TRICH_476,30.064,6.401,11.405,92.039,282.29,670.72,5.354,Y,3996.417,3.14,High Yeild
TRICH_477,23.89,4.206,38.222,70.026,251.268,1491.3,5.08,Y,3973.474,2.815,Medium Yeild
TRICH_478,27.705,5.362,8.35,92.286,267.878,981.396,5.562,Y,3021.823,0.565,Low yeild
TRICH_479,24.771,4.679,-15.009,87.664,253.988,1058.417,5.841,Y,4025.342,2.547,Low yeild
TRICH_480,24.005,3.746,30.427,89.477,243.382,1004.289,4.571,N,4400.901,2.294,Medium Yeild
TRICH_481,32.036,5.829,20.215,117.809,232.835,1861.792,6.315,N,4675.868,2.663,Low yeild
TRICH_482,27.469,3.506,42.821,106.369,257.143,1554.369,4.753,N,4529.072,5.693,Low yeild
TRICH_483,27.78,4.743,15.247,118.878,250.113,1493.425,3.513,Y,3681.506,1.349,Medium Yeild
TRICH_484,30.66,5.635,4.865,94.865,226.715,897.074,6.615,Y,4135.753,0.932,Medium yeild
TRICH_485,23.981,4.62,51.771,80.163,258.961,1981.497,4.314,Y,4851.302,2.444,High Yeild
TRICH_486,28.272,4.709,60.341,83.764,268.538,1010.03,5.827,N,3544.932,1.717,Low yeild
TRICH_487,20.521,4.9,43.898,113.325,296.564,1094.163,5.002,Y,3150.599,-0.188,Medium Yeild
TRICH_488,26.088,6.089,51.008,43.956,283.649,1955.532,5.363,N,4470.901,0.405,Low yeild
TRICH_489,27.917,4.761,20.256,96.057,250.181,580.374,7.01,N,3749.495,2.781,Low yeild
TRICH_490,24.488,6.121,49.862,119.709,241.04,1692.098,4.824,N,4777.532,1.782,Medium Yeild
TRICH_491,25.049,4.712,5.149,105.003,264.059,888.154,6.389,N,3277.467,1.302,Low yeild
TRICH_492,25.796,4.756,13.951,121.255,239.314,1526.914,5.516,N,3547.661,2.162,Low yeild
TRICH_493,29.327,4.459,14.655,92.17,255.359,1600.362,6.464,N,3423.658,0.307,Low yeild
TRICH_494,26.813,4.424,29.221,96.061,280.186,1153.871,6.958,N,3831.335,1.029,High Yeild
TRICH_495,24.94,5.055,23.771,59.974,266.708,1314.652,5.187,N,4863.294,-2.697,Low yeild
TRICH_496,24.427,4.885,14.889,60.241,227.498,990.584,5.268,Y,4002.364,0.81,Medium Yeild
TRICH_497,35.574,5.02,45.722,99.202,238.492,1510.432,6.625,Y,3590.569,-1.12,Medium Yeild
TRICH_498,27.482,4.468,29.591,76.567,251.534,1550.873,4.77,Y,3887.026,0.821,Low yeild
TRICH_499,26.602,5.312,-19.516,83.674,228.061,665.212,5.24,Y,3472.208,3.218,Medium Yeild
TRICH_500,23.53,5.989,28.48,36.739,224.432,1187.209,5.914,N,4599.582,6.779,Medium Yeild
TRICH_501,26.627,4.44,41.713,102.785,249.258,1452.164,5.455,N,4742.3,2.33,Medium Yeild
TRICH_502,29.953,5.634,48.211,98.653,266.577,2249.409,6.546,N,4672.28,1.166,Low yeild
TRICH_503,25.321,6.662,48.846,123.541,245.454,684.347,4.452,Y,3797.792,1.539,High Yeild
TRICH_504,33.208,5.655,-17.839,96.972,285.785,1636.113,6.807,Y,4555.651,-0.239,Low yeild
TRICH_505,29.728,6.102,34.71,100.785,244.28,623.469,7.181,Y,3574.937,3.589,Medium Yeild
TRICH_506,27.634,4.427,12.243,96.265,221.406,828.636,6.283,Y,3227.074,0.943,High Yeild
TRICH_507,29.815,3.916,11.245,106.097,242.943,1368.772,5.02,Y,4519.634,1.033,Medium Yeild
TRICH_508,27.666,6.868,42.412,116.758,272.08,1141.618,5.907,Y,3920.604,-1.375,Medium yeild
TRICH_509,25.951,4.965,9.744,72.81,265.366,652.71,4.968,N,3719.175,3.289,Medium Yeild
TRICH_510,28.263,5.164,16.031,73.939,277.907,1070.843,6.338,N,4151.712,2.439,Medium Yeild
TRICH_511,24.626,3.813,-7.459,83.154,256.995,842.326,5.396,Y,4220.903,-0.307,Low yeild
TRICH_512,26.107,3.734,21.16,75.838,237.59,1230.062,4.172,Y,3854.496,1.265,Low yeild
TRICH_513,25.744,5.639,38.201,89.895,260.74,1827.045,5.011,Y,4369.104,1.622,High Yeild
